Module,Mã CN,Tên chức năng,Mô tả chi tiết,Business Rules / Validation,Man-Day Dev,Man-Day Test,Độ ưu tiên
"Web Booking – 1. Xác thực & Tài khoản",BK-AUTH-01,Đăng ký tài khoản khách,"Khách nhập SDT/email, xác thực OTP, tạo mật khẩu","SDT hợp lệ 10 số; OTP hết hạn sau 5 phút; 1 SDT=1 tài khoản",2,1,P1
"Web Booking – 1. Xác thực & Tài khoản",BK-AUTH-02,Đăng nhập (SDT/Email/Google),"Hỗ trợ đăng nhập bằng SDT+OTP, email+mật khẩu, Google OAuth","Sai mật khẩu 5 lần khóa 15 phút; JWT 24h",2,1,P1
"Web Booking – 1. Xác thực & Tài khoản",BK-AUTH-03,Quên / Đặt lại mật khẩu,Gửi link đặt lại qua email hoặc OTP qua SDT,Link hết hạn sau 30 phút,1,0.5,P1
"Web Booking – 1. Xác thực & Tài khoản",BK-AUTH-04,Quản lý hồ sơ cá nhân,"Khách cập nhật tên, ảnh, SDT, email, ngày sinh",SDT và email phải xác thực trước khi lưu,1,0.5,P2
"Web Booking – 2. Tìm kiếm & Danh mục",BK-CAT-01,Trang chủ & banner khuyến mãi,"Slider banner, dịch vụ nổi bật, đánh giá khách hàng",Banner quản lý từ admin CMS,1,0.5,P1
"Web Booking – 2. Tìm kiếm & Danh mục",BK-CAT-02,Danh sách & lọc phòng/bungalow,"Hiển thị loại phòng, ảnh, giá, tình trạng; filter ngày, số người, loại phòng","Giá hiển thị đã gồm thuế; sold-out ẩn nút đặt",2,1,P1
"Web Booking – 2. Tìm kiếm & Danh mục",BK-CAT-03,Chi tiết phòng / dịch vụ lưu trú,"Ảnh gallery, tiện nghi, bản đồ vị trí, chính sách hủy",Tối thiểu 3 ảnh/phòng,1.5,0.5,P1
"Web Booking – 2. Tìm kiếm & Danh mục",BK-CAT-04,Danh sách vé tham quan,"Vé ngày/combo, giá người lớn/trẻ em/học sinh","Trẻ dưới 1m miễn phí; áp mã giảm giá",1.5,0.5,P1
"Web Booking – 2. Tìm kiếm & Danh mục",BK-CAT-05,Danh sách hoạt động trải nghiệm,"Tour nội bộ, thể thao, vui chơi; lịch còn chỗ","Mỗi slot giới hạn số người; cắt đặt khi đầy",2,1,P1
"Web Booking – 2. Tìm kiếm & Danh mục",BK-CAT-06,Đặt bàn / Set menu nhà hàng,"Chọn ngày giờ, số khách, set menu, yêu cầu đặc biệt","Đặt bàn trước tối thiểu 2 giờ; tối đa 30 ngày",1.5,0.5,P2
"Web Booking – 3. Quy trình đặt dịch vụ",BK-ORD-01,Kiểm tra khả dụng (availability),Real-time check phòng/slot còn trống theo ngày check-in/out,Lock tạm 10 phút khi vào bước thanh toán,2,1,P1
"Web Booking – 3. Quy trình đặt dịch vụ",BK-ORD-02,Giỏ dịch vụ (Cart),"Thêm nhiều dịch vụ vào 1 đơn: phòng + vé + activity","Cart lưu 24h; cảnh báo khi dịch vụ hết chỗ",2,1,P1
